user_id,item_id,rating
182,112,1.9
179,30,2.6
144,102,5.0
11,93,2.0
43,124,1.7
131,124,1.2
36,65,2.6
139,74,5.0
32,11,5.0
118,16,2.0
22,92,2.0
109,83,1.0
150,61,3.3
64,123,1.0
150,41,5.0
117,143,1.8
38,54,4.2
102,87,2.8
127,119,3.4
152,41,2.9
44,104,3.2
115,11,3.3
90,41,3.4
132,20,1.0
95,63,5.0
94,102,5.0
31,102,3.1
140,77,4.5
138,94,4.5
11,92,3.5
49,94,5.0
168,43,3.2
91,137,5.0
152,29,2.3
179,10,3.0
165,31,3.9
186,117,4.6
97,62,2.9
43,87,3.4
46,1,5.0
137,118,1.0
196,73,5.0
134,35,3.6
13,26,3.7
199,11,3.1
106,84,3.6
73,113,5.0
181,131,3.9
48,94,5.0
83,51,4.4
91,80,4.4
156,111,3.8
99,62,5.0
111,123,2.4
64,19,4.2
78,102,4.2
74,79,3.2
23,100,5.0
127,98,1.2
6,4,2.8
21,119,3.1
182,117,3.5
68,121,1.0
169,94,3.8
36,54,2.7
57,90,1.9
90,145,1.0
170,98,1.0
114,52,5.0
162,24,2.1
142,69,5.0
29,11,3.3
175,105,4.4
60,73,5.0
188,2,5.0
60,115,4.0
156,15,1.0
26,26,3.1
55,123,3.1
19,93,1.0
77,102,3.6
13,102,4.3
91,41,5.0
11,11,1.9
29,135,5.0
130,103,4.6
95,35,5.0
69,59,5.0
45,96,4.4
87,45,4.9
182,53,4.8
55,137,4.6
115,104,4.3
110,19,5.0
127,129,1.0
158,93,1.4
27,40,3.0
152,100,3.4
142,136,3.4
187,22,3.9
34,86,2.4
154,13,4.0
144,93,4.4
154,83,1.0
9,99,4.9
54,101,1.0
12,76,3.1
97,142,1.0
115,57,5.0
158,54,3.1
125,149,1.6
38,69,5.0
194,24,1.7
8,92,4.2
77,26,4.4
94,118,5.0
98,37,5.0
95,120,4.4
162,52,5.0
10,118,3.3
101,140,1.7
176,28,4.5
106,117,4.2
11,125,1.7
60,102,4.9
58,22,5.0
40,18,3.8
181,140,1.7
107,95,5.0
44,21,3.3
68,12,3.8
90,9,3.8
121,138,3.7
199,38,4.4
170,80,2.7
114,65,5.0
56,25,1.0
173,33,3.2
131,40,3.8
35,1,2.8
136,38,2.8
148,46,3.7
155,116,5.0
112,143,3.2
48,51,4.6
14,27,3.5
165,138,2.4
47,43,3.1
81,30,3.5
39,3,2.2
85,44,5.0
152,110,1.0
148,108,1.6
139,124,2.4
111,20,1.0
54,104,1.0
31,30,3.0
49,88,5.0
129,1,5.0
86,22,5.0
90,45,4.2
29,43,3.8
192,74,3.9
189,25,1.0
164,131,5.0
117,20,1.0
91,14,2.1
81,111,4.6
52,129,1.0
23,109,3.6
82,58,4.0
85,72,5.0
67,77,5.0
31,127,1.7
28,111,4.3
196,96,4.5
155,39,4.2
151,83,1.6
188,114,2.3
129,85,2.6
162,40,3.5
144,42,3.3
106,49,4.3
167,20,1.5
117,4,1.3
92,72,5.0
55,147,3.7
169,62,4.2
42,27,4.8
38,98,1.1
109,45,5.0
144,57,5.0
94,25,3.8
107,70,3.2
146,128,4.3
179,114,1.0
131,136,4.3
58,48,5.0
46,34,1.7
14,113,5.0
186,79,3.4
27,86,1.0
138,97,1.5
173,51,3.8
105,78,3.3
199,102,4.1
18,100,5.0
111,7,5.0
139,37,5.0
54,132,5.0
117,137,3.1
102,141,3.6
54,58,2.5
11,73,5.0
56,46,5.0
0,59,5.0
136,110,1.8
17,38,4.1
102,143,4.1
65,126,3.1
99,140,4.2
112,99,4.5
105,58,5.0
124,12,4.4
3,112,2.9
122,76,1.0
106,120,2.6
115,43,3.5
123,102,4.0
134,29,2.9
135,79,2.4
44,68,4.6
141,79,4.0
156,62,3.1
8,94,4.0
19,114,1.0
22,57,2.6
192,18,2.8
52,47,1.0
60,108,3.3
146,137,3.8
99,109,4.8
21,0,1.8
77,114,1.2
47,102,4.1
38,139,4.3
